"AF1755",NULL,NULL
"FCB3032",NULL,NULL
"FCB3031",NULL,NULL
"MG1000","<p>Inga s&#228;rskilda f&#246;rkunskaper kr&#228;vs</p>","<p>No particular prerequisites required</p>"
"FDD3335",NULL,NULL
"ML1506",NULL,NULL
"KD2340","<p>Grundl&#228;ggande kunskaper i fysik, kvantmekanik och molekyl&#228;r struktur och bra kunskaper i klassisk termodynamik.&#160; Kursen &#228;r avancerad och d&#228;rmed rekommenderas inte f&#246;r studenter p&#229; kandidatniv&#229;.</p>","<p>Basic knowledge in physics, quantum mechanics, and molecular structure and good knowledge in classical thermodynamics. This is an advanced course and is not recommended for students at bachelor level.</p>"
"AI2517",NULL,NULL
"FCB3024",NULL,NULL
"AF1766",NULL,NULL
"FCB3022",NULL,NULL
"FDD3334",NULL,NULL
"FAI3305",NULL,NULL
"FAI3306",NULL,NULL
"AK222V","<p>Avklarad grundkurs i &#228;mnen som Teknik- och vetenskapshistoria, Industrihistoria, Historia, Ekonomisk historia, Id&#233;historia, Milj&#246;historia, Arkeologi, Medeltidsarkeologi, Kulturgeografi, Konstvetenskap (med inriktning mot Arkitekturhistoria el. Bebyggelsehistoria), Etnologi eller Socialantropologi.</p>",NULL
"FDD3337",NULL,NULL
"ML1503",NULL,NULL
"CK1295",NULL,NULL
"AF2513",NULL,NULL
"KD2920",NULL,NULL
"FCB3021",NULL,NULL
"FDD3336","<p>Erfarenhet av programmering(helstC/C++eller Java).</p>","<p>Programming experience&#160;(ideally C/C++ or JAVA).</p>"
"AF1760",NULL,NULL
"CM0002",NULL,NULL
"FDD3338",NULL,NULL
"HI2001",NULL,NULL
"AI2508","<p>Kursen ing&#229;r i ett Mastersprogram och utg&#246;r en f&#246;rdjupning av tidigare studier inom &#228;mnesomr&#229;det Samh&#228;llsbyggnad. F&#246;r n&#228;rmare information om erforderliga f&#246;rkunskaper, kontakta kursansvarig.</p><p>OBS! Kursen &#228;r inte valbar f&#246;r studenter som har l&#228;st AI1523 tidigare.</p>",NULL
"SG1216","<p>SF1626 Flervariabelanalys</p>","<p>SF1626 Calculus in Several Variables</p>"
"CB2010",NULL,NULL
"AF1763",NULL,NULL
"DH1622",NULL,NULL
"FCB3064",NULL,NULL
"FBB3480",NULL,NULL
"AF1764",NULL,NULL
"FBB3470",NULL,NULL
"ML1333",NULL,NULL
"FCB3061",NULL,NULL
"FCB3062",NULL,NULL
"LT1046",NULL,NULL
"FDD3339",NULL,NULL
"FDD3341","<p>Kompetens p&#229; forskarniv&#229; i programmeringsspr&#229;k, semantik och komplexitet</p>",NULL
"FAH3466",NULL,NULL
"FCB3063",NULL,NULL
"CK1310",NULL,NULL
"AI2750",NULL,NULL
"FAH3465",NULL,NULL
"FDD3343",NULL,NULL
"FDD3342","<p>Sannolikhetsl&#228;ra och statistik p&#229; element&#228;r niv&#229;. N&#229;got intresse av och f&#246;rm&#229;ga att st&#228;lla upp och analysera matematiska statistiska modeler.</p>","<p>Student or doctoral student&#160;with first courses passed in programming and statistics.</p>"
"LT2046",NULL,NULL
"AG2151",NULL,NULL
"AL1145",NULL,NULL
"EL2450","<p>EL1000 Reglerteknik allm&#228;n kurs eller godk&#228;nnande fr&#229;n kursansvarig.</p>","<p>Automatic Control, Basic Course, (EL1000 Reglerteknik allm&#228;n kurs) or permission by the coordinator.</p>"
"IK1552","<p>N&#228;tverk och kommuikation (IK1203) eller likande kurs.</p>","<p>Data and Computer Communications or equivalent knowledge (such as IK1203)</p>"
"FAH3467",NULL,NULL
"FDD3344",NULL,NULL
"FCB3051",NULL,NULL
"FSG3131","<p>En avancerad kurs i str&#246;mningsmekanik p&#229; masterniv&#229; rekommenderas.</p>","<p>An advanced course in fluid mechanics on undergraduate level is recommended.&#160;</p>"
"FDD3350",NULL,NULL
"AG2120",NULL,NULL
"FCB3052",NULL,NULL
"AF2405",NULL,NULL
"FDD3353",NULL,NULL
"MJ2414",NULL,NULL
"FCB3053",NULL,NULL
"LT2045",NULL,NULL
"FDD3356","<p>Doktorand i &#228;mne relaterat till robotik och med f&#246;rdjupning inom ett omr&#229;de som beh&#246;vs i det gemensamma projektet. Projektgruppen skall sj&#228;lva ha tillg&#229;ng till den h&#229;rdvara och annan utrustning som beh&#246;vs f&#246;r att kunna genomf&#246;ra projektet praktiskt.</p>",NULL
"LT2044",NULL,NULL
"KE2355",NULL,NULL
"SD2930",NULL,NULL
"FCB3072",NULL,NULL
"FDD3359","",""
"FDD3354",NULL,NULL
"FCB3073",NULL,NULL
"FDD3355",NULL,NULL
"SA120X",NULL,NULL
"SH2381",NULL,NULL
"AF142X",NULL,NULL
